City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Delhi,304.9225769,304.9225769,05-2012
Hyderabad,306.8201599,306.6653442,05-2012
Jaipur,306.4008179,306.4008179,05-2012
Kolkata,304.5435486,304.022583,05-2012
Mumbai,303.7524109,303.7524109,05-2012
Pune,303.7524109,303.7524109,05-2012
Ahmedabad,307.6733398,307.0641785,06-2012
Bangalore,300.2875061,297.3383484,06-2012
Bhopal,307.3333435,306.1000061,06-2012
Bhubaneswar,305.4750061,305.4750061,06-2012
Chennai,305.6766663,305.6766663,06-2012
Delhi,309.7891846,309.7891846,06-2012
Hyderabad,303.7941589,301.480835,06-2012
Jaipur,308.5241699,308.5241699,06-2012
Kolkata,304.1483459,303.8758545,06-2012
Mumbai,300.8674927,300.8674927,06-2012
Pune,300.8674927,300.8674927,06-2012
Ahmedabad,305.6225891,304.1806641,07-2012
Bangalore,297.6225891,296.4266052,07-2012
Bhopal,302.4766235,302.2774353,07-2012
Bhubaneswar,297.7661438,297.7661438,07-2012
Chennai,302.6330566,302.6330566,07-2012
Delhi,308.9363098,308.9363098,07-2012
Hyderabad,298.7572632,298.0258179,07-2012
Jaipur,306.6774292,306.6774292,07-2012
Kolkata,301.2709656,299.8588867,07-2012
Mumbai,298.9757996,298.9757996,07-2012
Pune,298.9757996,298.9757996,07-2012
Ahmedabad,304.7411499,302.3500061,08-2012
Bangalore,297.4274292,296.4709778,08-2012
Bhopal,299.0782166,298.4814453,08-2012
Bhubaneswar,297.0613098,297.0613098,08-2012
Chennai,301.7185669,301.7185669,08-2012
Delhi,305.2129211,305.2129211,08-2012
Hyderabad,297.8653259,297.6588745,08-2012
Jaipur,301.9516296,301.9516296,08-2012
Kolkata,301.5169373,299.465332,08-2012
Mumbai,298.6467896,298.6467896,08-2012
Pune,298.6467896,298.6467896,08-2012
Ahmedabad,304.0874939,301.7241821,09-2012
Bangalore,297.2266846,296.4550171,09-2012
Bhopal,298.7508545,297.8108521,09-2012
Bhubaneswar,296.7116699,296.7116699,09-2012
