DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,date,mean
Navsari,24,24,Gujarat,2001-06-01,4.54E-05
Panch Mahals,17,24,Gujarat,2001-06-01,2.25E-05
Patan,3,24,Gujarat,2001-06-01,3.61E-06
Porbandar,11,24,Gujarat,2001-06-01,9.88E-06
Rajkot,9,24,Gujarat,2001-06-01,8.10E-06
Daman,2,25,Daman & Diu,2001-06-01,6.88E-05
Diu,1,25,Daman & Diu,2001-06-01,3.23E-05
Hingoli,16,27,Maharashtra,2001-06-01,3.27E-05
Aurangabad,19,27,Maharashtra,2001-06-01,2.97E-05
Ahmadnagar,26,27,Maharashtra,2001-06-01,2.37E-05
Akola,5,27,Maharashtra,2001-06-01,3.27E-05
Amravati,7,27,Maharashtra,2001-06-01,2.58E-05
Bid,27,27,Maharashtra,2001-06-01,2.86E-05
Bhandara,10,27,Maharashtra,2001-06-01,3.69E-05
Buldana,4,27,Maharashtra,2001-06-01,3.68E-05
Chandrapur,13,27,Maharashtra,2001-06-01,3.02E-05
Dhule,2,27,Maharashtra,2001-06-01,2.79E-05
Gadchiroli,12,27,Maharashtra,2001-06-01,3.35E-05
Gondiya,11,27,Maharashtra,2001-06-01,2.89E-05
Ratnagiri,32,27,Maharashtra,2001-06-01,8.62E-05
Raigarh,24,27,Maharashtra,2001-06-01,8.94E-05
Thane,21,27,Maharashtra,2001-06-01,7.30E-05
Solapur,30,27,Maharashtra,2001-06-01,2.27E-05
Sindhudurg,33,27,Maharashtra,2001-06-01,9.48E-05
Wardha,8,27,Maharashtra,2001-06-01,3.05E-05
Washim,6,27,Maharashtra,2001-06-01,3.50E-05
Yavatmal,14,27,Maharashtra,2001-06-01,3.47E-05
Jalgaon,3,27,Maharashtra,2001-06-01,2.51E-05
Jalna,18,27,Maharashtra,2001-06-01,3.65E-05
Kolhapur,34,27,Maharashtra,2001-06-01,4.87E-05
Latur,28,27,Maharashtra,2001-06-01,3.16E-05
Pune,25,27,Maharashtra,2001-06-01,3.75E-05
Nagpur,9,27,Maharashtra,2001-06-01,3.81E-05
Mumbai,23,27,Maharashtra,2001-06-01,8.16E-05
Mumbai (Suburban),22,27,Maharashtra,2001-06-01,8.46E-05
Nanded,15,27,Maharashtra,2001-06-01,3.56E-05
Nandurbar,1,27,Maharashtra,2001-06-01,2.53E-05
Nashik,20,27,Maharashtra,2001-06-01,3.53E-05
Osmanabad,29,27,Maharashtra,2001-06-01,2.83E-05
Parbhani,17,27,Maharashtra,2001-06-01,4.27E-05
Sangli,35,27,Maharashtra,2001-06-01,2.12E-05
Satara,31,27,Maharashtra,2001-06-01,3.11E-05
Hyderabad,5,28,Andhra Pradesh,2001-06-01,3.19E-05
Anantapur,22,28,Andhra Pradesh,2001-06-01,8.44E-06
Adilabad,1,28,Andhra Pradesh,2001-06-01,4.09E-05
Chittoor,23,28,Andhra Pradesh,2001-06-01,8.96E-06
Cuddapah,20,28,Andhra Pradesh,2001-06-01,7.48E-06
East Godavari,14,28,Andhra Pradesh,2001-06-01,3.20E-05
Karimnagar,3,28,Andhra Pradesh,2001-06-01,4.49E-05
Guntur,17,28,Andhra Pradesh,2001-06-01,2.31E-05
Rangareddi,6,28,Andhra Pradesh,2001-06-01,3.30E-05
Srikakulam,11,28,Andhra Pradesh,2001-06-01,4.13E-05
West Godavari,15,28,Andhra Pradesh,2001-06-01,2.62E-05
Visakhapatnam,13,28,Andhra Pradesh,2001-06-01,3.67E-05
Vizianagaram,12,28,Andhra Pradesh,2001-06-01,3.87E-05
Warangal,9,28,Andhra Pradesh,2001-06-01,3.89E-05
Khammam,10,28,Andhra Pradesh,2001-06-01,3.18E-05
Medak,4,28,Andhra Pradesh,2001-06-01,4.10E-05
Krishna,16,28,Andhra Pradesh,2001-06-01,2.46E-05
Kurnool,21,28,Andhra Pradesh,2001-06-01,1.07E-05
Mahbubnagar,7,28,Andhra Pradesh,2001-06-01,2.18E-05
Nalgonda,8,28,Andhra Pradesh,2001-06-01,3.07E-05
Nellore,19,28,Andhra Pradesh,2001-06-01,8.43E-06
Nizamabad,2,28,Andhra Pradesh,2001-06-01,4.30E-05
Prakasam,18,28,Andhra Pradesh,2001-06-01,1.16E-05
Hassan,23,29,Karnataka,2001-06-01,4.33E-05
Haveri,11,29,Karnataka,2001-06-01,2.95E-05
Bagalkot,2,29,Karnataka,2001-06-01,1.87E-05
Bangalore,20,29,Karnataka,2001-06-01,1.40E-05
Bidar,5,29,Karnataka,2001-06-01,3.78E-05
Bijapur,3,29,Karnataka,2001-06-01,2.36E-05
Belgaum,1,29,Karnataka,2001-06-01,2.90E-05
Bellary,12,29,Karnataka,2001-06-01,8.93E-06
Bangalore Rural,21,29,Karnataka,2001-06-01,1.32E-05
Chamarajanagar,27,29,Karnataka,2001-06-01,1.99E-05
Chikmagalur,17,29,Karnataka,2001-06-01,4.57E-05
Chitradurga,13,29,Karnataka,2001-06-01,1.09E-05
Dakshina Kannada,24,29,Karnataka,2001-06-01,1.33E-04
Davanagere,14,29,Karnataka,2001-06-01,1.50E-05
Dharwad,9,29,Karnataka,2001-06-01,3.07E-05
Gulbarga,4,29,Karnataka,2001-06-01,2.92E-05
Gadag,8,29,Karnataka,2001-06-01,1.75E-05
Shimoga,15,29,Karnataka,2001-06-01,5.42E-05
Tumkur,18,29,Karnataka,2001-06-01,1.45E-05
Udupi,16,29,Karnataka,2001-06-01,1.17E-04
Uttara Kannada,10,29,Karnataka,2001-06-01,7.91E-05
Kodagu,25,29,Karnataka,2001-06-01,1.17E-04
Kolar,19,29,Karnataka,2001-06-01,1.09E-05
Mandya,22,29,Karnataka,2001-06-01,2.03E-05
Koppal,7,29,Karnataka,2001-06-01,1.05E-05
Mysore,26,29,Karnataka,2001-06-01,4.70E-05
Raichur,6,29,Karnataka,2001-06-01,1.65E-05
South Goa,2,30,Goa,2001-06-01,1.13E-04
North Goa,1,30,Goa,2001-06-01,1.09E-04
Idukki,9,32,Kerala,2001-06-01,6.09E-05
Alappuzha,11,32,Kerala,2001-06-01,7.51E-05
Kasaragod,1,32,Kerala,2001-06-01,1.59E-04
Kannur,2,32,Kerala,2001-06-01,1.40E-04
Ernakulam,8,32,Kerala,2001-06-01,8.48E-05
Thrissur,7,32,Kerala,2001-06-01,9.40E-05
Thiruvananthapuram,14,32,Kerala,2001-06-01,7.33E-05
Wayanad,3,32,Kerala,2001-06-01,9.86E-05
Kollam,13,32,Kerala,2001-06-01,9.15E-05
Kottayam,10,32,Kerala,2001-06-01,8.79E-05
Kozhikode,4,32,Kerala,2001-06-01,1.35E-04
Malappuram,5,32,Kerala,2001-06-01,9.35E-05
Palakkad,6,32,Kerala,2001-06-01,6.54E-05
Pathanamthitta,12,32,Kerala,2001-06-01,8.82E-05
Ariyalur,17,33,Tamil Nadu,2001-06-01,1.26E-05
Coimbatore,12,33,Tamil Nadu,2001-06-01,2.91E-05
Cuddalore,18,33,Tamil Nadu,2001-06-01,1.14E-05
Dharmapuri,5,33,Tamil Nadu,2001-06-01,1.59E-05
Dindigul,13,33,Tamil Nadu,2001-06-01,1.59E-05
Erode,10,33,Tamil Nadu,2001-06-01,1.58E-05
Sivaganga,23,33,Tamil Nadu,2001-06-01,8.43E-06
Tiruchirappalli,15,33,Tamil Nadu,2001-06-01,1.19E-05
Tirunelveli,29,33,Tamil Nadu,2001-06-01,3.41E-05
Tiruvannamalai,6,33,Tamil Nadu,2001-06-01,1.18E-05
Thoothukkudi,28,33,Tamil Nadu,2001-06-01,1.63E-05
Theni,25,33,Tamil Nadu,2001-06-01,3.16E-05
Vellore,4,33,Tamil Nadu,2001-06-01,1.29E-05
Viluppuram,7,33,Tamil Nadu,2001-06-01,1.12E-05
Virudhunagar,26,33,Tamil Nadu,2001-06-01,1.80E-05
Chennai,2,33,Tamil Nadu,2001-06-01,9.82E-06
Kancheepuram,3,33,Tamil Nadu,2001-06-01,1.00E-05
Thiruvallur,1,33,Tamil Nadu,2001-06-01,9.79E-06
Thanjavur,21,33,Tamil Nadu,2001-06-01,1.28E-05
Thiruvarur,20,33,Tamil Nadu,2001-06-01,1.32E-05
Nagapattinam,19,33,Tamil Nadu,2001-06-01,1.26E-05
Kanniyakumari,30,33,Tamil Nadu,2001-06-01,4.67E-05
Karur,14,33,Tamil Nadu,2001-06-01,1.39E-05
Madurai,24,33,Tamil Nadu,2001-06-01,1.43E-05
Namakkal,9,33,Tamil Nadu,2001-06-01,1.27E-05
The Nilgiris,11,33,Tamil Nadu,2001-06-01,4.25E-05
Perambalur,16,33,Tamil Nadu,2001-06-01,1.12E-05
Pudukkottai,22,33,Tamil Nadu,2001-06-01,1.28E-05
Ramanathapuram,27,33,Tamil Nadu,2001-06-01,6.52E-06
Salem,8,33,Tamil Nadu,2001-06-01,1.39E-05
Yanam,1,34,Puducherry,2001-06-01,2.76E-05
Karaikal,4,34,Puducherry,2001-06-01,1.26E-05
Mahe,3,34,Puducherry,2001-06-01,1.36E-04
Pondicherry,2,34,Puducherry,2001-06-01,1.01E-05
Nicobars,2,35,Andaman & Nicobar Island,2001-06-01,7.43E-05
Andamans,1,35,Andaman & Nicobar Island,2001-06-01,1.31E-04
Chandigarh,1,4,Chandigarh,2001-07-01,1.15E-04
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,2001-07-01,2.05E-04
Lakshadweep,1,31,Lakshadweep,2001-07-01,4.23E-05
Data Not Available,99,99,Jammu and Kashmir,2001-07-01,1.82E-05
Anantnag,6,1,Jammu and Kashmir,2001-07-01,3.95E-05
Badgam,4,1,Jammu and Kashmir,2001-07-01,4.82E-05
Baramula,2,1,Jammu and Kashmir,2001-07-01,3.35E-05
Doda,9,1,Jammu and Kashmir,2001-07-01,3.52E-05
Srinagar,3,1,Jammu and Kashmir,2001-07-01,2.72E-05
Udhampur,10,1,Jammu and Kashmir,2001-07-01,6.50E-05
Jammu,13,1,Jammu and Kashmir,2001-07-01,8.32E-05
Kargil,8,1,Jammu and Kashmir,2001-07-01,1.77E-05
Kathua,14,1,Jammu and Kashmir,2001-07-01,7.64E-05
Leh (Ladakh),7,1,Jammu and Kashmir,2001-07-01,6.03E-06
Kupwara,1,1,Jammu and Kashmir,2001-07-01,3.82E-05
Punch,11,1,Jammu and Kashmir,2001-07-01,6.40E-05
Pulwama,5,1,Jammu and Kashmir,2001-07-01,4.31E-05
Rajauri,12,1,Jammu and Kashmir,2001-07-01,6.38E-05
Bilaspur,8,2,Himachal Pradesh,2001-07-01,1.05E-04
Chamba,1,2,Himachal Pradesh,2001-07-01,4.96E-05
Hamirpur,6,2,Himachal Pradesh,2001-07-01,9.83E-05
Shimla,11,2,Himachal Pradesh,2001-07-01,9.77E-05
Sirmaur,10,2,Himachal Pradesh,2001-07-01,1.22E-04
Solan,9,2,Himachal Pradesh,2001-07-01,1.13E-04
Una,7,2,Himachal Pradesh,2001-07-01,9.93E-05
Kangra,2,2,Himachal Pradesh,2001-07-01,7.88E-05
Kinnaur,12,2,Himachal Pradesh,2001-07-01,6.60E-05
Lahul & Spiti,3,2,Himachal Pradesh,2001-07-01,3.30E-05
Kullu,4,2,Himachal Pradesh,2001-07-01,6.31E-05
Mandi,5,2,Himachal Pradesh,2001-07-01,9.28E-05
Hoshiarpur,5,3,Punjab,2001-07-01,9.34E-05
Amritsar,2,3,Punjab,2001-07-01,7.49E-05
Firozpur,11,3,Punjab,2001-07-01,5.17E-05
Bathinda,14,3,Punjab,2001-07-01,5.51E-05
Gurdaspur,1,3,Punjab,2001-07-01,8.54E-05
Faridkot,13,3,Punjab,2001-07-01,5.53E-05
Fatehgarh Sahib,8,3,Punjab,2001-07-01,1.04E-04
Rupnagar,7,3,Punjab,2001-07-01,1.09E-04
Jalandhar,4,3,Punjab,2001-07-01,8.64E-05
Kapurthala,3,3,Punjab,2001-07-01,8.40E-05
Ludhiana,9,3,Punjab,2001-07-01,8.82E-05
Mansa,15,3,Punjab,2001-07-01,6.15E-05
Moga,10,3,Punjab,2001-07-01,6.67E-05
Muktsar,12,3,Punjab,2001-07-01,4.69E-05
Nawanshahr,6,3,Punjab,2001-07-01,1.01E-04
Patiala,17,3,Punjab,2001-07-01,1.02E-04
Sangrur,16,3,Punjab,2001-07-01,7.69E-05
Hardwar,13,5,Uttarakhand,2001-07-01,1.11E-04
Bageshwar,8,5,Uttarakhand,2001-07-01,6.54E-05
Almora,9,5,Uttarakhand,2001-07-01,7.75E-05
Chamoli,2,5,Uttarakhand,2001-07-01,5.76E-05
Champawat,10,5,Uttarakhand,2001-07-01,7.72E-05
Dehradun,5,5,Uttarakhand,2001-07-01,1.15E-04
Garhwal,6,5,Uttarakhand,2001-07-01,9.07E-05
Rudraprayag,3,5,Uttarakhand,2001-07-01,7.37E-05
Tehri Garhwal,4,5,Uttarakhand,2001-07-01,9.63E-05
Udham Singh Nagar,12,5,Uttarakhand,2001-07-01,7.77E-05
Uttarkashi,1,5,Uttarakhand,2001-07-01,8.17E-05
Nainital,11,5,Uttarakhand,2001-07-01,7.80E-05
Pithoragarh,7,5,Uttarakhand,2001-07-01,5.22E-05
Hisar,12,6,Haryana,2001-07-01,6.42E-05
Ambala,2,6,Haryana,2001-07-01,1.17E-04
Gurgaon,18,6,Haryana,2001-07-01,7.13E-05
Faridabad,19,6,Haryana,2001-07-01,6.92E-05
Fatehabad,10,6,Haryana,2001-07-01,6.14E-05
Rohtak,14,6,Haryana,2001-07-01,8.48E-05
Sirsa,11,6,Haryana,2001-07-01,4.69E-05
Sonipat,8,6,Haryana,2001-07-01,8.67E-05
Yamunanagar,3,6,Haryana,2001-07-01,1.20E-04
Jhajjar,15,6,Haryana,2001-07-01,8.33E-05
Mahendragarh,16,6,Haryana,2001-07-01,8.25E-05
Rewari,17,6,Haryana,2001-07-01,8.29E-05
Bhiwani,13,6,Haryana,2001-07-01,6.69E-05
Jind,9,6,Haryana,2001-07-01,8.45E-05
Kaithal,5,6,Haryana,2001-07-01,9.66E-05
Karnal,6,6,Haryana,2001-07-01,1.04E-04
Kurukshetra,4,6,Haryana,2001-07-01,1.10E-04
Panchkula,1,6,Haryana,2001-07-01,1.18E-04
Panipat,7,6,Haryana,2001-07-01,9.35E-05
Central,6,7,Delhi  & NCR,2001-07-01,8.32E-05
East,4,7,Delhi  & NCR,2001-07-01,8.04E-05
New Delhi,5,7,Delhi  & NCR,2001-07-01,8.34E-05
North,2,7,Delhi  & NCR,2001-07-01,8.44E-05
North East,3,7,Delhi  & NCR,2001-07-01,8.16E-05
North West,1,7,Delhi  & NCR,2001-07-01,8.63E-05
South,9,7,Delhi  & NCR,2001-07-01,8.04E-05
South West,8,7,Delhi  & NCR,2001-07-01,8.34E-05
West,7,7,Delhi  & NCR,2001-07-01,8.36E-05
Ajmer,21,8,Rajasthan,2001-07-01,9.06E-05
Banswara,28,8,Rajasthan,2001-07-01,1.09E-04
Barmer,17,8,Rajasthan,2001-07-01,4.24E-05
Bhilwara,24,8,Rajasthan,2001-07-01,1.04E-04
Bikaner,3,8,Rajasthan,2001-07-01,3.08E-05
Bharatpur,7,8,Rajasthan,2001-07-01,5.55E-05
Bundi,23,8,Rajasthan,2001-07-01,1.14E-04
Chittaurgarh,29,8,Rajasthan,2001-07-01,1.10E-04
Churu,4,8,Rajasthan,2001-07-01,4.62E-05
Dausa,11,8,Rajasthan,2001-07-01,8.04E-05
Dhaulpur,8,8,Rajasthan,2001-07-01,5.68E-05
Dungarpur,27,8,Rajasthan,2001-07-01,1.09E-04
Karauli,9,8,Rajasthan,2001-07-01,7.82E-05
Sirohi,19,8,Rajasthan,2001-07-01,8.69E-05
Tonk,22,8,Rajasthan,2001-07-01,1.04E-04
Sikar,13,8,Rajasthan,2001-07-01,6.40E-05
Alwar,6,8,Rajasthan,2001-07-01,6.73E-05
Udaipur,26,8,Rajasthan,2001-07-01,9.66E-05
Ganganagar,1,8,Rajasthan,2001-07-01,2.22E-05
Hanumangarh,2,8,Rajasthan,2001-07-01,4.00E-05
Baran,31,8,Rajasthan,2001-07-01,1.11E-04
Jaipur,12,8,Rajasthan,2001-07-01,8.72E-05
Jaisalmer,16,8,Rajasthan,2001-07-01,1.91E-05
Jalor,18,8,Rajasthan,2001-07-01,7.13E-05
Jhalawar,32,8,Rajasthan,2001-07-01,1.04E-04
Jhunjhunun,5,8,Rajasthan,2001-07-01,6.06E-05
Jodhpur,15,8,Rajasthan,2001-07-01,4.60E-05
Kota,30,8,Rajasthan,2001-07-01,1.12E-04
Nagaur,14,8,Rajasthan,2001-07-01,7.11E-05
Pali,20,8,Rajasthan,2001-07-01,6.71E-05
Rajsamand,25,8,Rajasthan,2001-07-01,7.82E-05
Sawai Madhopur,10,8,Rajasthan,2001-07-01,9.82E-05
Hathras,13,9,Uttar Pradesh,2001-07-01,4.78E-05
Auraiya,32,9,Uttar Pradesh,2001-07-01,4.33E-05
Azamgarh,61,9,Uttar Pradesh,2001-07-01,7.92E-05
Budaun,19,9,Uttar Pradesh,2001-07-01,5.62E-05
Agra,15,9,Uttar Pradesh,2001-07-01,4.68E-05
Aligarh,12,9,Uttar Pradesh,2001-07-01,5.37E-05
Allahabad,45,9,Uttar Pradesh,2001-07-01,7.45E-05
Ambedkar Nagar,48,9,Uttar Pradesh,2001-07-01,7.85E-05
Bareilly,20,9,Uttar Pradesh,2001-07-01,6.68E-05
Bijnor,3,9,Uttar Pradesh,2001-07-01,8.50E-05
Basti,55,9,Uttar Pradesh,2001-07-01,8.37E-05
Baghpat,8,9,Uttar Pradesh,2001-07-01,9.18E-05
Bahraich,50,9,Uttar Pradesh,2001-07-01,8.79E-05
Ballia,63,9,Uttar Pradesh,2001-07-01,8.97E-05
Balrampur,52,9,Uttar Pradesh,2001-07-01,9.69E-05
Banda,40,9,Uttar Pradesh,2001-07-01,7.03E-05
Barabanki,46,9,Uttar Pradesh,2001-07-01,6.61E-05
Chitrakoot,41,9,Uttar Pradesh,2001-07-01,7.40E-05
Chandauli,66,9,Uttar Pradesh,2001-07-01,7.93E-05
Deoria,60,9,Uttar Pradesh,2001-07-01,9.28E-05
Etah,17,9,Uttar Pradesh,2001-07-01,4.79E-05
Kanpur Dehat,33,9,Uttar Pradesh,2001-07-01,4.87E-05
Etawah,31,9,Uttar Pradesh,2001-07-01,4.15E-05
Faizabad,47,9,Uttar Pradesh,2001-07-01,7.55E-05
Ghazipur,65,9,Uttar Pradesh,2001-07-01,8.18E-05
Gonda,53,9,Uttar Pradesh,2001-07-01,7.99E-05
Gorakhpur,58,9,Uttar Pradesh,2001-07-01,9.40E-05
Farrukhabad,29,9,Uttar Pradesh,2001-07-01,5.29E-05
Fatehpur,42,9,Uttar Pradesh,2001-07-01,6.48E-05
Firozabad,16,9,Uttar Pradesh,2001-07-01,4.25E-05
Hamirpur,38,9,Uttar Pradesh,2001-07-01,5.94E-05
Hardoi,25,9,Uttar Pradesh,2001-07-01,5.78E-05
Shrawasti,51,9,Uttar Pradesh,2001-07-01,8.68E-05
Saharanpur,1,9,Uttar Pradesh,2001-07-01,1.19E-04
Sitapur,24,9,Uttar Pradesh,2001-07-01,7.35E-05
Sultanpur,49,9,Uttar Pradesh,2001-07-01,7.19E-05
Sonbhadra,70,9,Uttar Pradesh,2001-07-01,8.46E-05
Siddharthnagar,54,9,Uttar Pradesh,2001-07-01,1.04E-04
Unnao,26,9,Uttar Pradesh,2001-07-01,5.54E-05
Varanasi,67,9,Uttar Pradesh,2001-07-01,7.50E-05
Bulandshahr,11,9,Uttar Pradesh,2001-07-01,6.50E-05
Gautam Buddha Nagar,10,9,Uttar Pradesh,2001-07-01,7.46E-05
Ghaziabad,9,9,Uttar Pradesh,2001-07-01,7.94E-05
Jalaun,35,9,Uttar Pradesh,2001-07-01,5.15E-05
Jaunpur,64,9,Uttar Pradesh,2001-07-01,7.57E-05
Jhansi,36,9,Uttar Pradesh,2001-07-01,7.04E-05
Jyotiba Phule Nagar,6,9,Uttar Pradesh,2001-07-01,6.65E-05
Kannauj,30,9,Uttar Pradesh,2001-07-01,4.65E-05
Kanpur Nagar,34,9,Uttar Pradesh,2001-07-01,5.29E-05
Kaushambi,44,9,Uttar Pradesh,2001-07-01,7.00E-05
Kheri,23,9,Uttar Pradesh,2001-07-01,8.96E-05
Mirzapur,69,9,Uttar Pradesh,2001-07-01,7.69E-05
Moradabad,4,9,Uttar Pradesh,2001-07-01,6.43E-05
Muzaffarnagar,2,9,Uttar Pradesh,2001-07-01,1.06E-04
Rae Bareli,28,9,Uttar Pradesh,2001-07-01,6.29E-05
Kushinagar,59,9,Uttar Pradesh,2001-07-01,1.14E-04
Lucknow,27,9,Uttar Pradesh,2001-07-01,6.02E-05
Lalitpur,37,9,Uttar Pradesh,2001-07-01,9.37E-05
Mahrajganj,57,9,Uttar Pradesh,2001-07-01,1.21E-04
Mahoba,39,9,Uttar Pradesh,2001-07-01,6.81E-05
Mainpuri,18,9,Uttar Pradesh,2001-07-01,4.41E-05
Mathura,14,9,Uttar Pradesh,2001-07-01,4.88E-05
Mau,62,9,Uttar Pradesh,2001-07-01,8.32E-05
Meerut,7,9,Uttar Pradesh,2001-07-01,8.84E-05
Pilibhit,21,9,Uttar Pradesh,2001-07-01,7.95E-05
Pratapgarh,43,9,Uttar Pradesh,2001-07-01,7.06E-05
Rampur,5,9,Uttar Pradesh,2001-07-01,6.77E-05
Sant Ravidas Nagar Bhadohi,68,9,Uttar Pradesh,2001-07-01,7.51E-05
Sant Kabir Nagar,56,9,Uttar Pradesh,2001-07-01,9.18E-05
Shahjahanpur,22,9,Uttar Pradesh,2001-07-01,7.06E-05
Araria,7,10,Bihar,2001-07-01,1.75E-04
Aurangabad,34,10,Bihar,2001-07-01,9.02E-05
Banka,23,10,Bihar,2001-07-01,1.01E-04
Bhagalpur,22,10,Bihar,2001-07-01,1.19E-04
Begusarai,20,10,Bihar,2001-07-01,1.11E-04
Saran,17,10,Bihar,2001-07-01,1.02E-04
Katihar,10,10,Bihar,2001-07-01,1.48E-04
Darbhanga,13,10,Bihar,2001-07-01,1.32E-04
Gopalganj,15,10,Bihar,2001-07-01,1.06E-04
Sheikhpura,26,10,Bihar,2001-07-01,1.07E-04
Sheohar,3,10,Bihar,2001-07-01,1.23E-04
Saharsa,12,10,Bihar,2001-07-01,1.28E-04
Sitamarhi,4,10,Bihar,2001-07-01,1.26E-04
Siwan,16,10,Bihar,2001-07-01,1.00E-04
Supaul,6,10,Bihar,2001-07-01,1.55E-04
Vaishali,18,10,Bihar,2001-07-01,1.08E-04
Kaimur (Bhabua),31,10,Bihar,2001-07-01,8.13E-05
Gaya,35,10,Bihar,2001-07-01,9.78E-05
Bhojpur,29,10,Bihar,2001-07-01,9.22E-05
Buxar,30,10,Bihar,2001-07-01,8.66E-05
Jehanabad,33,10,Bihar,2001-07-01,9.43E-05
Rohtas,32,10,Bihar,2001-07-01,8.50E-05
Jamui,37,10,Bihar,2001-07-01,1.01E-04
Kishanganj,8,10,Bihar,2001-07-01,2.04E-04
Muzaffarpur,14,10,Bihar,2001-07-01,1.16E-04
Purnia,9,10,Bihar,2001-07-01,1.59E-04
Khagaria,21,10,Bihar,2001-07-01,1.16E-04
Madhubani,5,10,Bihar,2001-07-01,1.43E-04
Lakhisarai,25,10,Bihar,2001-07-01,1.05E-04
Madhepura,11,10,Bihar,2001-07-01,1.37E-04
Purba Champaran,2,10,Bihar,2001-07-01,1.21E-04
Munger,24,10,Bihar,2001-07-01,1.07E-04
Nalanda,27,10,Bihar,2001-07-01,1.04E-04
Nawada,36,10,Bihar,2001-07-01,1.04E-04
Pashchim Champaran,1,10,Bihar,2001-07-01,1.38E-04
Patna,28,10,Bihar,2001-07-01,1.03E-04
Samastipur,19,10,Bihar,2001-07-01,1.16E-04
East,4,11,Sikkim,2001-07-01,1.76E-04
South,3,11,Sikkim,2001-07-01,1.77E-04
West,2,11,Sikkim,2001-07-01,1.66E-04
North,1,11,Sikkim,2001-07-01,1.18E-04
Changlang,12,12,Arunanchal Pradesh,2001-07-01,1.33E-04
Dibang Valley,10,12,Arunanchal Pradesh,2001-07-01,9.35E-05
East Kameng,3,12,Arunanchal Pradesh,2001-07-01,1.25E-04
East Siang,8,12,Arunanchal Pradesh,2001-07-01,1.26E-04
Tawang,1,12,Arunanchal Pradesh,2001-07-01,1.16E-04
Tirap,13,12,Arunanchal Pradesh,2001-07-01,1.25E-04
West Kameng,2,12,Arunanchal Pradesh,2001-07-01,1.33E-04
West Siang,7,12,Arunanchal Pradesh,2001-07-01,1.17E-04
Upper Siang,9,12,Arunanchal Pradesh,2001-07-01,9.40E-05
Upper Subansiri,6,12,Arunanchal Pradesh,2001-07-01,1.09E-04
Lohit,11,12,Arunanchal Pradesh,2001-07-01,1.15E-04
Lower Subansiri,5,12,Arunanchal Pradesh,2001-07-01,1.17E-04
Papum Pare,4,12,Arunanchal Pradesh,2001-07-01,1.28E-04
Tuensang,2,13,Nagaland,2001-07-01,1.22E-04
Wokha,5,13,Nagaland,2001-07-01,1.19E-04
Zunheboto,4,13,Nagaland,2001-07-01,1.25E-04
Dimapur,6,13,Nagaland,2001-07-01,1.40E-04
Kohima,7,13,Nagaland,2001-07-01,1.53E-04
Mokokchung,3,13,Nagaland,2001-07-01,1.14E-04
Mon,1,13,Nagaland,2001-07-01,1.21E-04
Phek,8,13,Nagaland,2001-07-01,1.49E-04
Bishnupur,4,14,Manipur,2001-07-01,1.87E-04
Chandel,9,14,Manipur,2001-07-01,1.69E-04
Churachandpur,3,14,Manipur,2001-07-01,2.33E-04
Tamenglong,2,14,Manipur,2001-07-01,1.87E-04
Thoubal,5,14,Manipur,2001-07-01,1.76E-04
Ukhrul,8,14,Manipur,2001-07-01,1.54E-04
Imphal East,7,14,Manipur,2001-07-01,1.75E-04
Imphal West,6,14,Manipur,2001-07-01,2.35E-04
Senapati (Excl. 3 sub-divisions),1,14,Manipur,2001-07-01,1.67E-04
Aizawl,3,15,Mizoram,2001-07-01,2.71E-04
Champhai,4,15,Mizoram,2001-07-01,2.40E-04
Kolasib,2,15,Mizoram,2001-07-01,2.70E-04
Mamit,1,15,Mizoram,2001-07-01,2.68E-04
Lunglei,6,15,Mizoram,2001-07-01,2.31E-04
Lawngtlai,7,15,Mizoram,2001-07-01,2.44E-04
Saiha,8,15,Mizoram,2001-07-01,2.34E-04
Serchhip,5,15,Mizoram,2001-07-01,2.52E-04
Dhalai,3,16,Tripura,2001-07-01,2.48E-04
South Tripura,2,16,Tripura,2001-07-01,2.31E-04
West Tripura,1,16,Tripura,2001-07-01,2.18E-04
North Tripura,4,16,Tripura,2001-07-01,2.68E-04
East Garo Hills,2,17,Meghalaya,2001-07-01,2.94E-04
East Khasi Hills,6,17,Meghalaya,2001-07-01,4.62E-04
Ri Bhoi,5,17,Meghalaya,2001-07-01,2.99E-04
South Garo Hills,3,17,Meghalaya,2001-07-01,3.21E-04
West Garo Hills,1,17,Meghalaya,2001-07-01,2.54E-04
West Khasi Hills,4,17,Meghalaya,2001-07-01,3.84E-04
Jaintia Hills,7,17,Meghalaya,2001-07-01,3.61E-04
Barpeta,5,18,Assam,2001-07-01,2.01E-04
Bongaigaon,4,18,Assam,2001-07-01,2.07E-04
Cachar,21,18,Assam,2001-07-01,2.63E-04
Darrang,8,18,Assam,2001-07-01,1.61E-04
Dhemaji,13,18,Assam,2001-07-01,1.42E-04
Dhubri,2,18,Assam,2001-07-01,2.34E-04
Dibrugarh,15,18,Assam,2001-07-01,1.42E-04
Kamrup,6,18,Assam,2001-07-01,2.30E-04
Karbi Anglong,19,18,Assam,2001-07-01,1.73E-04
Goalpara,3,18,Assam,2001-07-01,2.41E-04
Golaghat,18,18,Assam,2001-07-01,1.37E-04
Hailakandi,23,18,Assam,2001-07-01,2.77E-04
