system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00010000000000000fb7,India,Uttarakhand,Pithoragarh,2018-01-01,1.198169279721389
0_00010000000000000fb8,India,Uttarakhand,Almora,2018-01-01,2.609845174431044
0_00010000000000000fb9,India,Uttarakhand,Bageshwar,2018-01-01,1.6695421599992926
0_00010000000000000fba,India,Uttarakhand,Chamoli,2018-01-01,1.2269971051540185
0_00010000000000000fbb,India,Uttarakhand,Champawat,2018-01-01,3.1392227325834194
0_00010000000000000fbe,India,Uttarakhand,Rudra Prayag,2018-01-01,1.22364013294847
0_00010000000000000f45,India,Madhya Pradesh,East Nimar,2018-01-01,8.726250471999101
0_00010000000000000f46,India,Madhya Pradesh,Guna,2018-01-01,7.612761197370208
0_00010000000000000f59,India,Madhya Pradesh,Shahdol,2018-01-01,9.466720444477254
0_00010000000000000f61,India,Madhya Pradesh,Anuppur,2018-01-01,9.638343180179758
0_00010000000000000f62,India,Madhya Pradesh,Ashoknagar,2018-01-01,7.483088415029254
0_00010000000000000f64,India,Madhya Pradesh,Burhanpur,2018-01-01,9.259422910816546
0_00010000000000000d8a,India,Andhra Pradesh,Adilabad,2018-01-01,16.19807075458941
0_00010000000000000d8b,India,Andhra Pradesh,Anantapur,2018-01-01,22.780480200201808
0_00010000000000000d8c,India,Andhra Pradesh,Chittoor,2018-01-01,25.583526828308212
0_00010000000000000d8d,India,Andhra Pradesh,Cuddapah,2018-01-01,26.453901333347666
0_00010000000000000d8e,India,Andhra Pradesh,East Godavari,2018-01-01,28.068886591936366
0_00010000000000000d8f,India,Andhra Pradesh,Guntur,2018-01-01,28.731364972518044
0_00010000000000000d90,India,Andhra Pradesh,Hyderabad,2018-01-01,19.871989704411952
0_00010000000000000d91,India,Andhra Pradesh,Karimnagar,2018-01-01,19.418186254439846
0_00010000000000000d92,India,Andhra Pradesh,Khammam,2018-01-01,25.447408244832005
0_00010000000000000d93,India,Andhra Pradesh,Krishna,2018-01-01,29.688429422463468
0_00010000000000000d94,India,Andhra Pradesh,Kurnool,2018-01-01,23.043983430611338
0_00010000000000000d95,India,Andhra Pradesh,Mahbubnagar,2018-01-01,21.413520738620893
0_00010000000000000d96,India,Andhra Pradesh,Medak,2018-01-01,18.771398845041023
0_00010000000000000d97,India,Andhra Pradesh,Nalgonda,2018-01-01,23.417556572357416
0_00010000000000000d98,India,Andhra Pradesh,Nellore,2018-01-01,30.80311640532533
0_00010000000000000d99,India,Andhra Pradesh,Nizamabad,2018-01-01,17.31838239640378
0_00010000000000000d9a,India,Andhra Pradesh,Prakasam,2018-01-01,27.310507520121106
0_00010000000000000d9b,India,Andhra Pradesh,Rangareddi,2018-01-01,19.69560936003483
0_00010000000000000d9c,India,Andhra Pradesh,Srikakulam,2018-01-01,25.352983559900746
0_00010000000000000d9d,India,Andhra Pradesh,Vishakhapatnam,2018-01-01,22.930116205533835
0_00010000000000000d9e,India,Andhra Pradesh,Vizianagaram,2018-01-01,22.397919587988547
0_00010000000000000d9f,India,Andhra Pradesh,Warangal,2018-01-01,22.331396607111156
0_00010000000000000da0,India,Andhra Pradesh,West Godavari,2018-01-01,29.31341683461037
0_00010000000000000da1,India,Assam,Barpeta,2018-01-01,17.528323503386602
0_00010000000000000da2,India,Assam,Cachar,2018-01-01,18.465988031083697
0_00010000000000000da3,India,Assam,Darrang,2018-01-01,15.669482344272614
0_00010000000000000da4,India,Assam,Dhuburi,2018-01-01,17.72738130812544
0_00010000000000000da5,India,Assam,Dibrugarh,2018-01-01,21.703599883503347
0_00010000000000000da6,India,Assam,Goalpara,2018-01-01,19.281613135318896
0_00010000000000000da7,India,Assam,Golaghat,2018-01-01,20.392419322861468
0_00010000000000000da8,India,Assam,Kamrup,2018-01-01,21.11865402779146
0_00010000000000000da9,India,Assam,Karbi Anglong,2018-01-01,22.213478612490952
0_00010000000000000daa,India,Assam,Karimganj,2018-01-01,19.11918829184238
