DISTRICT,year,mean NDVI
Tonk,2000,0.20663166395629400
Sikar,2000,0.19647166538830300
Alwar,2000,0.2508387252639080
Udaipur,2000,0.2489749250972280
Ganganagar,2000,0.15321455633849500
Hanumangarh,2000,0.13966170735146900
Baran,2000,0.2340653383267240
Jalaun,2000,0.23009236571739900
Jaunpur,2000,0.338366954476299
Jhansi,2000,0.2599788381325340
Jyotiba Phule Nagar,2000,0.3095726716308070
Kannauj,2000,0.24045985605999400
Kanpur Nagar,2000,0.2516465248429280
Kaushambi,2000,0.3310279127598400
Kheri,2000,0.2911144269244800
Mirzapur,2000,0.2923800692182680
Moradabad,2000,0.3085068494578740
Muzaffarnagar,2000,0.34076595568539900
Rae Bareli,2000,0.3306632101890410
Kushinagar,2000,0.3144477882181050
Lucknow,2000,0.29365773152100600
Lalitpur,2000,0.27970199127978700
Mahrajganj,2000,0.3656800742484530
Mahoba,2000,0.25326774645349600
Mainpuri,2000,0.2590853476825570
Mathura,2000,0.2634018681030430
Mau,2000,0.29799639181468500
Meerut,2000,0.3177653251688080
Pilibhit,2000,0.3032339517989400
Pratapgarh,2000,0.35445449170585100
Rampur,2000,0.2866534006646680
Sant Ravidas Nagar Bhadohi,2000,0.34641856619955700
Sant Kabir Nagar,2000,0.3100595466650020
Shahjahanpur,2000,0.28626882000430800
Shrawasti,2000,0.3062896429872790
Auraiya,2000,0.2569035627354940
Azamgarh,2000,0.3037741676745180
Budaun,2000,0.26672449957661400
