City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,298.0796204,298.0796204,2011_Q4,44 KHOKHRA
Ahmedabad,298.0796204,298.0796204,2011_Q4,43 BHAIPURA HATKESHWAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,42 INDRAPURI
Ahmedabad,298.0796204,298.0796204,2011_Q4,41 VASTRAL
Ahmedabad,298.0796204,298.0796204,2011_Q4,40 ODHAV
Ahmedabad,298.0796204,298.0796204,2011_Q4,39 AMRAIWADI
Ahmedabad,298.0796204,298.0796204,2011_Q4,38 GOMTIPUR
Ahmedabad,298.0796204,298.0796204,2011_Q4,37 MANINAGAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,36 DANILIMDA
Ahmedabad,298.0796204,298.0796204,2011_Q4,35 BAHERAMPURA
Ahmedabad,299.3432007,298.0796204,2011_Q4,34 MAKTAMPURA
Ahmedabad,299.3432007,298.0796204,2011_Q4,33 SARKHEJ
Ahmedabad,298.0796204,298.0796204,2011_Q4,32 VEJALPUR
Ahmedabad,298.0796204,298.0796204,2011_Q4,31 VASNA
Ahmedabad,298.0796204,298.0796204,2011_Q4,30 PALDI
Ahmedabad,298.0796204,298.0796204,2011_Q4,29 JAMALPUR
Ahmedabad,298.0796204,298.0796204,2011_Q4,28 KHADIA
Ahmedabad,298.0796204,298.0796204,2011_Q4,27 SARASPUR-RAKHIYAL
Ahmedabad,298.0796204,298.0796204,2011_Q4,26 BAPUNAGAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,25 VIRATNAGAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,24 NIKOL
Ahmedabad,298.0796204,298.0796204,2011_Q4,23 THAKKARBAPANAGAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,22 INDIA COLONY
Ahmedabad,298.0796204,298.0796204,2011_Q4,21 DARIYAPUR
Ahmedabad,299.3432007,298.0796204,2011_Q4,20 JODHPUR
Ahmedabad,299.3432007,298.0796204,2011_Q4,19 BODAKDEV
Ahmedabad,298.0796204,298.0796204,2011_Q4,18 NAVRANGPURA
Ahmedabad,298.0796204,298.0796204,2011_Q4,17 SHAHPUR
Ahmedabad,298.0796204,298.0796204,2011_Q4,16 SHAHIBAG
Ahmedabad,298.0796204,298.0796204,2011_Q4,15 ASARWA
Ahmedabad,298.0796204,298.0796204,2011_Q4,14 KUBERNAGR
Ahmedabad,298.0796204,298.0796204,2011_Q4,13 SAIJPUR BOGHA
Ahmedabad,298.0796204,298.0796204,2011_Q4,12 NARODA
Ahmedabad,298.0796204,298.0796204,2011_Q4,11 SARDARNAGAR
Ahmedabad,298.0796204,298.0796204,2011_Q4,10 S.P.STADIUM
Ahmedabad,298.0796204,298.0796204,2011_Q4,09 NARANPURA
Ahmedabad,299.3432007,298.0796204,2011_Q4,08 THALTEJ
Ahmedabad,298.0796204,298.0796204,2011_Q4,07 GHATLODIA
Ahmedabad,298.0796204,298.0796204,2011_Q4,06 NEW WADAJ
Ahmedabad,298.0796204,298.0796204,2011_Q4,05 RANIP
Ahmedabad,298.0796204,298.0796204,2011_Q4,04 SABARMATI
Ahmedabad,298.0796204,298.0796204,2011_Q4,03 CHANDKHEDA
Ahmedabad,298.0796204,298.0796204,2011_Q4,02 CHANDLODIA
Ahmedabad,299.3432007,298.0796204,2011_Q4,01 GOTA
Ahmedabad,294.3881836,294.3881836,2012_Q1,48 RAMOL HATHIJAN
Ahmedabad,294.3881836,294.3881836,2012_Q1,47 VATVA
Ahmedabad,294.3881836,294.3881836,2012_Q1,46 LAMBHA
Ahmedabad,294.3881836,294.3881836,2012_Q1,45 ISANPUR
Ahmedabad,294.3881836,294.3881836,2012_Q1,44 KHOKHRA
Ahmedabad,294.3881836,294.3881836,2012_Q1,43 BHAIPURA HATKESHWAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,42 INDRAPURI
Ahmedabad,294.3881836,294.3881836,2012_Q1,41 VASTRAL
Ahmedabad,294.3881836,294.3881836,2012_Q1,40 ODHAV
Ahmedabad,294.3881836,294.3881836,2012_Q1,39 AMRAIWADI
Ahmedabad,294.3881836,294.3881836,2012_Q1,38 GOMTIPUR
Ahmedabad,294.3881836,294.3881836,2012_Q1,37 MANINAGAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,36 DANILIMDA
Ahmedabad,294.3881836,294.3881836,2012_Q1,35 BAHERAMPURA
Ahmedabad,295.2101746,294.3881836,2012_Q1,34 MAKTAMPURA
Ahmedabad,295.2101746,294.3881836,2012_Q1,33 SARKHEJ
